_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
11,A0666279,NUSCHLER (TEDDY),CAT,PT-FLAME,ORANGE,SIAMESE,NEUTERED,2009-03-14T00:00:00,15 YEARS,2024-09-06T00:00:00,MED R,STRAY,OTC,,2024-09-07T00:00:00,RTO,,HEALTHY,1400 BLOCK FOXWORTHY AVE X PLUMMER AVE,SAN JOSE,2024-09-07T00:00:00
12,A0667848,MOMIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2009-01-14T00:00:00,16 YEARS,2024-09-03T00:00:00,MED R,FOSTER,,,2024-09-04T00:00:00,FOSTER,,MED R,,SAN JOSE,2024-10-03T00:00:00
13,A0667848,MOMIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2009-01-14T00:00:00,16 YEARS,2024-09-04T00:00:00,MED R,FOSTER,,,2024-09-04T00:00:00,FOSTER,,MED R,,SAN JOSE,2024-09-04T00:00:00
14,A0685089,GIBBY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2009-04-28T00:00:00,15 YEARS,2024-12-04T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-12-04T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-12-04T00:00:00
15,A0685330,MINOR/BRN AV,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,NO AGE,2024-10-12T00:00:00,MED EMERG,STRAY,OTC,,2024-10-12T00:00:00,EUTH,,MED SEV,WILLIS AVE,SAN JOSE,2024-10-12T00:00:00
16,A0692251,BOLT,DOG,TAN,,CHIHUAHUA SH,NEUTERED,,NO AGE,2024-11-16T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-11-16T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-11-16T00:00:00
17,A0706207,MEMO,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2008-09-21T00:00:00,16 YEARS,2024-11-24T00:00:00,MED R,STRAY,OTC,,2024-12-01T00:00:00,RESCUE,,MED R,CATHAY DR / HOPKINS DR,SAN JOSE,2024-12-01T00:00:00
18,A0713284,MOLLY,DOG,FAWN,,DACHSHUND,SPAYED,2010-09-11T00:00:00,14 YEARS,2024-11-09T00:00:00,DEAD,DISPO REQ,OTC,,2024-11-09T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-11-09T00:00:00
19,A0713539,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,2009-05-16T00:00:00,15 YEARS,2024-11-06T00:00:00,DEAD,DISPO REQ,OTC,,2024-11-06T00:00:00,DISPOSAL,,DEAD,SENTER RD X STORY RD,SAN JOSE,2024-11-06T00:00:00
20,A0717780,CONNIE,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2010-03-16T00:00:00,15 YEARS,2024-07-10T00:00:00,HEALTHY,FOSTER,,,2024-07-10T00:00:00,RESCUE,,HEALTHY,VIA CIELO X VIA VALVERDE,SAN JOSE,2025-04-03T00:00:00
21,A0717781,MIKAELA,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2010-03-16T00:00:00,15 YEARS,2024-07-10T00:00:00,HEALTHY,FOSTER,,,2024-07-10T00:00:00,RESCUE,,HEALTHY,VIA CIELO X VIA VALVERDE,SAN JOSE,2024-07-10T00:00:00
22,A0719419,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-08-20T00:00:00,MED R,STRAY,OTC,,2024-08-20T00:00:00,EUTH,,MED SEV,MILL POND DR X CANOAS GARDEN AVE,SAN JOSE,2024-08-20T00:00:00
23,A0721336,MISSHARRIETT,CAT,TABBY-ORG,WHITE,DOMESTIC SH,SPAYED,2009-01-27T00:00:00,15 YEARS,2024-07-27T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-07-27T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-07-27T00:00:00
24,A0734308,DINKERS,DOG,BROWN,,CHIHUAHUA LH,NEUTERED,2009-08-03T00:00:00,15 YEARS,2024-08-29T00:00:00,MED R,STRAY,OTC,,2024-08-31T00:00:00,RTO,,,RANCHERO WAY X MITZI DR,SAN JOSE,2024-08-31T00:00:00
25,A0742526,JEWELS,DOG,WHITE,TAN,CHIHUAHUA SH,NEUTERED,2011-04-08T00:00:00,14 YEARS,2024-09-24T00:00:00,HEALTHY,STRAY,OTC,,2024-09-30T00:00:00,RESCUE,,HEALTHY,N 17TH ST X E TAYLOR,SAN JOSE,2024-09-30T00:00:00
26,A0746047,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2024-07-27T00:00:00,MED R,STRAY,OTC,,2024-08-06T00:00:00,RTF,,MED R,300 BLOCK FANYON ST X KENNEDY DR,MILPITAS,2024-08-06T00:00:00
27,A0753204,MILO,DOG,RED,,CHIHUAHUA LH,MALE,,NO AGE,2024-07-30T00:00:00,DEAD,DISPO REQ,OTC,,2024-07-30T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-07-30T00:00:00
28,A0753221,BAMBOO,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2010-07-07T00:00:00,14 YEARS,2024-07-16T00:00:00,DEAD,DISPO REQ,OTC,,2024-07-16T00:00:00,DISPOSAL,,DEAD,BERONA WAY,SAN JOSE,2024-07-16T00:00:00
29,A0757232,CANELA,CAT,CALICO-TRI,,DOMESTIC LH,SPAYED,2007-05-22T00:00:00,17 YEARS,2024-08-10T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-08-10T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-08-10T00:00:00
30,A0762292,GAUSS,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,2010-11-01T00:00:00,14 YEARS,2024-11-20T00:00:00,MED R,STRAY,OTC,,2024-12-23T00:00:00,ADOPTION,,MED R,,SAN JOSE,2024-12-23T00:00:00
31,A0766635,TOPHER,CAT,ORANGE,,DOMESTIC SH,MALE,2011-04-08T00:00:00,13 YEARS,2024-11-04T00:00:00,DEAD,DISPO REQ,OTC,,2024-11-16T00:00:00,DISPOSAL,,DEAD,PINOT CT / MUSCAT DR,SAN JOSE,2024-11-16T00:00:00
32,A0767314,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-11-10T00:00:00,MED SEV,STRAY,FIELD,,2024-11-10T00:00:00,EUTH,,MED SEV,BUCKNER DR X MEADOW LN,SAN JOSE,2024-11-10T00:00:00
33,A0769885,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-12-13T00:00:00,MED SEV,STRAY,OTC,,2024-12-16T00:00:00,EUTH,,MED SEV,UMBARGER RD/MONTEREY RD,SAN JOSE,2024-12-16T00:00:00
34,A0773805,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2024-10-04T00:00:00,MED SEV,STRAY,OTC,,2024-10-04T00:00:00,EUTH,,MED EMERG,0 BLOCK UMBARGER RD X AIELLO DR,SAN JOSE,2024-10-04T00:00:00
35,A0776196,,CAT,PT-LYNX,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-12T00:00:00,MED SEV,STRAY,OTC,,2024-07-12T00:00:00,EUTH,,MED SEV,E SAN FERNANDO ST/S 34TH ST,SAN JOSE,2024-07-12T00:00:00
36,A0783446,JAGGER,DOG,BLACK,,LABRADOR RETR,MALE,2011-08-19T00:00:00,13 YEARS,2024-10-13T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-10-13T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-10-13T00:00:00
37,A0787074,MOUSE,DOG,BROWN,,CHIHUAHUA LH,FEMALE,2011-12-08T00:00:00,13 YEARS,2024-11-19T00:00:00,DEAD,DISPO REQ,,,2024-11-19T00:00:00,DISPOSAL,,DEAD,,,2025-03-11T00:00:00
38,A0788419,BUD,DOG,TRICOLOR,,BASSET HOUND,NEUTERED,2011-09-25T00:00:00,12 YEARS,2024-08-20T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-08-20T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-08-20T00:00:00
39,A0794694,,CAT,BLACK,,DOMESTIC LH,NEUTERED,,NO AGE,2024-11-17T00:00:00,MED EMERG,STRAY,MEDVET,,2024-11-17T00:00:00,EUTH,,DEAD,SUSSEX X E CAPITOL,SAN JOSE,2024-11-17T00:00:00
40,A0796309,COCOA,DOG,BLACK,,CHIHUAHUA SH,SPAYED,,NO AGE,2024-07-20T00:00:00,DEAD,DISPO REQ,OTC,,2024-07-20T00:00:00,DISPOSAL,,DEAD,2200 BLOCK DENAIR AVE / BAYARD DR,SAN JOSE,2024-07-20T00:00:00
41,A0797930,,CAT,TABBY-ORG,,DOMESTIC MH,NEUTERED,,NO AGE,2024-11-13T00:00:00,MED SEV,STRAY,OTC,,2024-11-13T00:00:00,EUTH,,MED SEV,DIXON RD/VEGAS AVE,MILPITAS,2024-11-13T00:00:00
42,A0799824,,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-10-28T00:00:00,MED SEV,STRAY,FIELD,,2024-10-29T00:00:00,EUTH,,MED SEV,S 31ST X SAN ANTONIO,SAN JOSE,2024-10-30T00:00:00
43,A0810546,,CAT,BLACK,BLACK,DOMESTIC SH,NEUTERED,,NO AGE,2024-11-08T00:00:00,MED SEV,STRAY,OTC,,2024-11-08T00:00:00,DIED,,MED SEV,VALLEY HEIGHTS DR/MABURY RD,SAN JOSE,2024-11-08T00:00:00
44,A0817199,SPOTTIE,DOG,WHITE,,CHIHUAHUA SH,NEUTERED,2012-03-31T00:00:00,12 YEARS,2024-09-20T00:00:00,DEAD,DISPO REQ,OTC,,2024-09-20T00:00:00,DISPOSAL,,DEAD,400 BLOCK N 14TH ST / WASHINGTON ST,SAN JOSE,2024-09-20T00:00:00
45,A0817490,MISSY,DOG,TAN,BLACK,YORKSHIRE TERR,SPAYED,2012-09-18T00:00:00,11 YEARS,2024-07-15T00:00:00,DEAD,DISPO REQ,OTC,,2024-07-15T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-07-15T00:00:00
46,A0820045,ATHENA,DOG,BLACK,BROWN,MIN PINSCHER,FEMALE,2010-05-04T00:00:00,14 YEARS,2024-09-12T00:00:00,DEAD,DISPO REQ,OTC,,2024-09-12T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-09-12T00:00:00
47,A0820993,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2024-09-11T00:00:00,AGGRESSIVE,STRAY,OTC,,2024-09-11T00:00:00,EUTH,,MED SEV,CHOPIN AVE X PUCCINI AVE,SAN JOSE,2024-09-11T00:00:00
48,A0821113,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2012-10-03T00:00:00,12 YEARS,2024-10-03T00:00:00,MED SEV,STRAY,MEDVET,,2024-10-15T00:00:00,EUTH,,MED SEV,3600 BLOCK OF ROLLINGSIDE DR.,SAN JOSE,2024-10-15T00:00:00
49,A0829460,LITTLE MAN (FAT MAN),DOG,TAN,,CHIHUAHUA SH,NEUTERED,2012-05-17T00:00:00,13 YEARS,2024-07-16T00:00:00,HEALTHY,STRAY,MEDVET,,2024-07-20T00:00:00,RTO,,HEALTHY,SANTA TERESA X SAN IGNACIO,SAN JOSE,2024-07-20T00:00:00
50,A0830781,MOOMOO,CAT,WHITE,GRAY,DOMESTIC SH,SPAYED,2013-03-29T00:00:00,12 YEARS,2024-08-21T00:00:00,MED R,STRAY,OTC,,2024-09-18T00:00:00,ADOPTION,,HEALTHY,LEWISTON DR  X MIDVALE LN,SAN JOSE,2024-09-18T00:00:00
51,A0832347,LUCY,DOG,TRICOLOR,,MIN PINSCHER,SPAYED,2013-01-25T00:00:00,12 YEARS,2024-12-07T00:00:00,HEALTHY,STRAY,OTC,,2024-12-11T00:00:00,RTO,,HEALTHY,MASTIC ST/FLOYD ST,SAN JOSE,2024-12-11T00:00:00
52,A0842371,,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,2011-07-19T00:00:00,13 YEARS,2024-07-19T00:00:00,MED SEV,STRAY,FOUND,,2024-07-25T00:00:00,EUTH,,MED SEV,12TH STREET AND SANTA CLARA ST.,SAN JOSE,2024-07-25T00:00:00
53,A0847649,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-08-07T00:00:00,DEAD,DISPO REQ,OTC,,2024-08-07T00:00:00,DISPOSAL,,DEAD,PFEIFLE AVE X FEHREN DR,SAN JOSE,2024-08-07T00:00:00
54,A0849982,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-11-29T00:00:00,DEAD,DISPO REQ,OTC,,2024-11-29T00:00:00,DISPOSAL,,DEAD,TULLY RD/CAPITOL EXPY,SAN JOSE,2024-11-29T00:00:00
55,A0870272,LILY,DOG,WHITE,BROWN,PIT BULL,SPAYED,2013-04-09T00:00:00,12 YEARS,2024-07-11T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-18T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-18T00:00:00
56,A0871219,,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-26T00:00:00,MED EMERG,STRAY,FIELD,,2024-07-26T00:00:00,EUTH,,MED EMERG,MAYSONG CT X AUTUMNSONG,SAN JOSE,2024-07-26T00:00:00
57,A0873191,OREO,DOG,BLACK,WHITE,SCHNAUZER MIN,NEUTERED,2010-10-30T00:00:00,14 YEARS,2024-10-09T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-10-09T00:00:00,DISPOSAL,,DEAD,,CAMPBELL,2024-10-09T00:00:00
58,A0881604,ANGEL,DOG,BLACK,,POODLE MIN,SPAYED,2010-08-03T00:00:00,14 YEARS,2024-08-03T00:00:00,HEALTHY,STRAY,OTC,,2024-08-03T00:00:00,RTO,,HEALTHY,600 BLOCK NORTH/E CAPITOL EXPY,SAN JOSE,2024-08-06T00:00:00
59,A0882045,HADES,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2013-05-19T00:00:00,11 YEARS,2024-09-19T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-09-19T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-09-19T00:00:00
60,A0888151,MOLLY,DOG,BLUE,WHITE,PIT BULL,SPAYED,2013-03-18T00:00:00,11 YEARS,2024-11-02T00:00:00,DEAD,DISPO REQ,OTC,,2024-11-02T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-11-02T00:00:00
61,A0888756,COTTON,DOG,WHITE,TAN,MALTESE,NEUTERED,2008-03-25T00:00:00,17 YEARS,2024-07-21T00:00:00,MED R,STRAY,OTC,,2024-07-22T00:00:00,RTO,,MED R,YASOU DEMAS WAY X AUTOTECH WY,SAN JOSE,2024-07-22T00:00:00
62,A0890284,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-08-21T00:00:00,MED SEV,STRAY,OTC,,2024-08-23T00:00:00,DIED,,MED SEV,UMBARGER RD X AIELLO DR,SAN JOSE,2024-08-23T00:00:00
63,A0891467,ANUBIS,DOG,WHITE,BRINDLE-BN,BULL TERRIER,NEUTERED,2011-03-27T00:00:00,14 YEARS,2024-10-10T00:00:00,HEALTHY,STRAY,FIELD,,2024-10-10T00:00:00,RTO,,HEALTHY,ALMA X POMONA,SAN JOSE,2024-10-10T00:00:00
64,A0891467,ANUBIS,DOG,WHITE,BRINDLE-BN,BULL TERRIER,NEUTERED,2011-03-27T00:00:00,14 YEARS,2024-10-07T00:00:00,MED R,STRAY,FIELD,,2024-10-09T00:00:00,RTO,,MED R,WILLOW / ALMADEN,SAN JOSE,2024-10-09T00:00:00
65,A0894526,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-07-13T00:00:00,MED R,STRAY,MEDVET,,2024-07-13T00:00:00,EUTH,,MED EMERG,3300 BLK OF MIRA VISTA CIR.,SAN JOSE,2024-07-13T00:00:00
66,A0897696,BRAVEHEART,CAT,GRAY,,DOMESTIC SH,NEUTERED,2014-03-28T00:00:00,11 YEARS,2024-09-16T00:00:00,MED M,OWNER SUR,OTC,,2024-09-23T00:00:00,ADOPTION,,HEALTHY,,SAN JOSE,2024-09-23T00:00:00
67,A0898191,MINNIE,DOG,TRICOLOR,,CHIHUAHUA SH,SPAYED,2013-11-17T00:00:00,11 YEARS,2024-12-06T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-12-06T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-12-06T00:00:00
68,A0901222,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-09-10T00:00:00,DEAD,DISPO REQ,OTC,,2024-09-10T00:00:00,DISPOSAL,,DEAD,"1700 BLOCK CHENEY DR, SAN JOSE CA 95128",SAN JOSE,2024-09-10T00:00:00
69,A0902350,LOLA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2014-05-11T00:00:00,11 YEARS,2024-08-23T00:00:00,MED R,STRAY,OTC,,2024-09-15T00:00:00,RESCUE,,MED R,SIENNA DR,SAN JOSE,2024-09-15T00:00:00
70,A0906371,PRECIOUS,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,2014-03-22T00:00:00,10 YEARS,2024-11-15T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-11-15T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-11-15T00:00:00
71,A0908015,BIGGIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2014-03-18T00:00:00,11 YEARS,2024-11-15T00:00:00,HEALTHY,STRAY,OTC,,2024-11-21T00:00:00,RTF,,FERAL,N 5TH ST/COMMERCIAL ST,SAN JOSE,2024-11-21T00:00:00
72,A0923774,BUCANAS,DOG,BLACK,TAN,DOBERMAN PINSCH,FEMALE,2014-06-19T00:00:00,10 YEARS,2024-10-09T00:00:00,DEAD,DISPO REQ,OTC,,2024-10-09T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-10-09T00:00:00
73,A0924547,LITTLE KITTY,CAT,PT-LYNX,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-08T00:00:00,DEAD,DISPO REQ,OTC,,2024-07-08T00:00:00,DISPOSAL,,DEAD,JUNEBERRY CT,SAN JOSE,2024-07-08T00:00:00
74,A0926370,SPORT,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2013-11-16T00:00:00,11 YEARS,2024-10-15T00:00:00,MED R,OWNER SUR,FIELD,,2024-10-23T00:00:00,RESCUE,,MED R,,MILPITAS,2024-10-24T00:00:00
75,A0934692,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2024-08-21T00:00:00,DEAD,DISPO REQ,FIELD,,2024-08-21T00:00:00,DISPOSAL,,DEAD,MARBURG WAY X LAS PLUMAS,SAN JOSE,2024-08-21T00:00:00
76,A0935559,LULU,DOG,BLACK,WHITE,BOSTON TERRIER,SPAYED,,NO AGE,2024-07-24T00:00:00,HEALTHY,STRAY,OTC,,2024-07-25T00:00:00,RTO,,HEALTHY,QUITO RD X DEVON AVE,SARATOGA,2024-07-25T00:00:00
77,A0938182,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2024-10-01T00:00:00,DEAD,DISPO REQ,FIELD,,2024-10-01T00:00:00,DISPOSAL,,DEAD,UMBARGER RD & MONTEREY HWY,SAN JOSE,2024-10-01T00:00:00
78,A0941043,POLO BLUE,DOG,BLUE,,PIT BULL,NEUTERED,2013-10-14T00:00:00,11 YEARS,2024-09-06T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-11-18T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-11-18T00:00:00
79,A0941853,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-08T00:00:00,MED SEV,STRAY,OTC,,2024-07-09T00:00:00,EUTH,,MED SEV,MONTEREY RD/TULLY RD,SAN JOSE,2024-07-09T00:00:00
80,A0942015,MAX,DOG,RED,,MIN PINSCHER,NEUTERED,2014-09-22T00:00:00,10 YEARS,2024-08-15T00:00:00,HEALTHY,STRAY,OTC,IP ADOPT,2024-08-15T00:00:00,RTO,,HEALTHY,MINER PARK,SAN JOSE,2024-08-15T00:00:00
81,A0955861,GIBBS,CAT,BLACK,,DOMESTIC SH,NEUTERED,2015-05-28T00:00:00,9 YEARS,2024-12-04T00:00:00,MED SEV,STRAY,FIELD,,2024-12-04T00:00:00,EUTH,,MED SEV,MADDEN AVE / N CAPITOL AVE,SAN JOSE,2024-12-09T00:00:00
82,A0962939,SPARKY,DOG,WHITE,,SHIH TZU,NEUTERED,2012-08-16T00:00:00,12 YEARS,2024-09-16T00:00:00,HEALTHY,STRAY,OTC,,2024-09-16T00:00:00,RTO,,HEALTHY,MONTEREY RD/UMBARGER,SAN JOSE,2024-09-16T00:00:00
83,A0973377,NO TNR,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2024-10-31T00:00:00,DEAD,DISPO REQ,OTC,,2024-10-31T00:00:00,DISPOSAL,,DEAD,FENTON ST,SAN JOSE,2024-10-31T00:00:00
84,A0974791,MILO,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2014-12-17T00:00:00,9 YEARS,2024-08-31T00:00:00,DEAD,DISPO REQ,OTC,,2024-11-17T00:00:00,DISPOSAL,,DEAD,PACINA DR / DIADEM DR,SAN JOSE,2024-11-17T00:00:00
85,A0976867,HAPPY,DOG,RED,WHITE,CHIHUAHUA SH,MALE,2012-01-07T00:00:00,13 YEARS,2024-09-02T00:00:00,MED M,STRAY,MEDVET,,2024-09-06T00:00:00,RTO,,,NEW JERSEY AVE,SAN JOSE,2024-09-06T00:00:00
86,A0979877,PEPE,DOG,TAN,,POODLE MIN,MALE,,NO AGE,2024-10-12T00:00:00,MED R,STRAY,OTC,,2024-10-13T00:00:00,RTO,,HEALTHY,EBERLY DR / LYRIC LN,SAN JOSE,2024-10-13T00:00:00
87,A0979960,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2024-11-26T00:00:00,MED SEV,STRAY,OTC,,2024-11-26T00:00:00,EUTH,,MED SEV,OLD RIDGE CT/BATTAGLIA CIR,SAN JOSE,2024-12-03T00:00:00
88,A0983830,WILLOW GIRL,DOG,TAN,BLACK,GERM SHEPHERD,SPAYED,2014-03-08T00:00:00,10 YEARS,2024-11-10T00:00:00,DEAD,DISPO REQ,OTC,,2024-11-16T00:00:00,DISPOSAL,,DEAD,COMANCHE DR,SAN JOSE,2024-11-16T00:00:00
89,A0984209,COCO,CAT,TORTIE-B\O,,DOMESTIC MH,SPAYED,2013-03-14T00:00:00,12 YEARS,2024-11-14T00:00:00,MED SEV,EUTH REQ,OTC OWNED,,2024-11-27T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-11-27T00:00:00
90,A0984209,COCO,CAT,TORTIE-B\O,,DOMESTIC MH,SPAYED,2013-03-14T00:00:00,12 YEARS,2024-11-14T00:00:00,MED SEV,EUTH REQ,OTC OWNED,,2024-11-27T00:00:00,RTO,,MED M,,SAN JOSE,2024-12-10T00:00:00
91,A0986928,,CAT,BLACK,,DOMESTIC MH,SPAYED,2016-09-17T00:00:00,8 YEARS,2024-09-17T00:00:00,MED SEV,STRAY,OTC,,2024-09-26T00:00:00,DIED,,MED SEV,SEVEN TREE BLVD/SAN MATEO DR,SAN JOSE,2024-09-30T00:00:00
92,A0987374,,CAT,GRAY,,DOMESTIC SH,NEUTERED,2012-12-09T00:00:00,12 YEARS,2024-12-06T00:00:00,MED SEV,CONFISCATE,POLICE,,2024-12-23T00:00:00,EUTH,,MED SEV,,SAN JOSE,2024-12-23T00:00:00
93,A0994016,DEMON,DOG,BLACK,BROWN,YORKSHIRE TERR,NEUTERED,2011-04-11T00:00:00,14 YEARS,2024-12-01T00:00:00,HEALTHY,TRANSFER,SVACA,,2024-12-01T00:00:00,RTO,,HEALTHY,TOWER HILL AVE/REGENCY AVE,SAN JOSE,2024-12-01T00:00:00
94,A0995410,,CAT,CALICO-TRI,,DOMESTIC LH,SPAYED,,NO AGE,2024-11-13T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-11-13T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-11-13T00:00:00
